tb_id_BTR,Area_vsp,work_place_fl,Staff_F_ruk,Staff_F_sochl,Staff_F_mp,Staff_F_kbp,Staff_F_mik,Staff_F_premier,Staff_F_vip,Staff_F_dsa,Staff_F_all,y,m,vsp,tb,osb_id_BTR,Subject_name,City_name,Latitude,Longitude,Unit_type,Business_format,Ownership_type,Format_state,work_days,hours,hours_by_day,MTG_1MIK_1_work_day,UP_1MIK_1_work_day,PK_1MP_1_work_day,depo_1MP_1_work_day,CC_1MP_1_work_day,DC_1MP_1_work_day,UP_1MP_1_work_day,UKO_1KBP_1_work_day,UP_1KBP_1_work_day,depo_1SOCHL_1_work_day,DC_1SOCHL_1_work_day,Cash_Pay_1SOCHL_1_WD,NСash_Pay_1SOCHL_1_WD,Cash_Trans_1SOCHL_1_WD,NCash_Trans_1SOCHL_1_WD,Cash_in_out_1SOCHL_1_WD,Transactions_TOTAL_1SOCHL_1_WD,conv_client_flow_MP_PK,conv_client_flow_MP_Depo,conv_client_flow_MP_Cards,conv_client_flow_SOCHL_nci,UTS_MP,UTS_sochl,AST_MP,AST_sochl,AWT_MP,AWT_sochl,potreb_amount_br,potreb_npv_br,potreb_npv_amount,mortg_amount_br,mortg_npv_br,mortg_npv_amount,base_amount_br,base_npv_br,base_npv_amount,lider_amount_br,lider_npv_br,lider_npv_amount,special_amount_br,special_npv_br,special_npv_amount,current_amount_br,current_npv_br,current_npv_amount,CC_credit_limit_br,CC_loan_indebtedness_br,CC_npv_br,CC_npv_loan_indebtedness,DC_turnover_br,DC_balance_of_own_funds_br,DC_npv_br,DC_npv_balance_of_own_funds,NPV_sales_1MP,NPV_sales_1MIK,NPV_sales_1RVSP,NPV_sales_1SOCHL,rent_by_space,fact_area_by_WP,norm_area_by_WP,fact_norm_area_by_WP,area_by_staff,F_S_staff,opex_staff,salary_staff_all,salary_staff_ruk,salary_staff_MP,salary_staff_MIK,salary_staff_KBP,salary_staff_SOCHL,P_serv_br,NPV_products_br,nci_br,serv_inc_br,serv_trans_total,serv_time_by_1_trans,SOCHL_cost_1_min,serv_marg,L_br,EVA_serv_br,EVA_br,EVA_L,EVA_staff,EVA_area,convert_sal_EVA_MIK,convert_sal_EVA_MP,convert_sal_EVA_KBP,convert_sal_EVA_SOCHL,tec1,tec2,tec3,tec4,tec5,tec6,tec7,CF_MP_total,CF_MP_PK,CF_MP_Mort,CF_MP_Deposits,CF_MP_Cards,CF_SOCHL_total
40,150.10001,11,2,5,2,.8,,,,,9.800000000000001,2017,3,Доп.офис №8604/0117,Среднерусский банк,8604,Тульская область,Ленинский,54.287094,37.459862,ДО ФЛ,Бизнес-офис,Собственность банка,Нет,26,256.4872279167175,9.864893,,,.67307693,1.8846154,.51923078,9.2884617,4.3388462,17.451923,1.5336539,,.0076923077,25.246155,33.607693,.99230766,.69230771,10.638461,71.45385,.27131784,.47342995,.66492832,46.604813,.25999999,.44,5.4000001,3.1900001,2.3900001,2.1400001,160.42409,10.759816,.067071073,,,,201.20003,2.4330101,.012092493,,,,,,,99.127678,7.9910898,.080614112,33.464699,7.2297802,.4439286,.061402779,19.6222,7.4974999,3.696002,.4929646,1198.7927,,,47.642281,-511.81845,13.645455,21,.64978361,15.316327,.98000002,-98762.867,-79671.109,-145830.06,-77813.531,,-33262.063,-63658.715,2601.8818,1613.0647,449.45667,539.36035,32487,3.344624,4.1365747,.2,-1216.0918,1385.79,846.42963,.69602448,86.370369,5.6391044,,14.409685,-1.259184,-.2915248,,,,,,,,1127,129,24,207,767,6290
40,54.299999,,,1,,,,,,,1,2017,3,Доп.офис №8604/0118,Среднерусский банк,8604,Тульская область,Плеханово,54.243595,37.568859,ДО ФЛ,Опер-офис,Собственность банка,Нет,17,142.4263887405396,8.3780231,,,,,,,,,,.64705884,4.4705882,.23529412,7.2352943,,.41176471,35.411766,43.294117,,,,23.327805,,,,,,,,,,,,,161.28966,1.75661,.010891027,,,,,,,.075492501,.0068187402,.090323411,,,,,19.6222,7.4974999,3.696002,.4929646,,,,314.83142,-614.18201,,21,,54.299999,1.25,-140539.92,-60814.352,,,,,-60814.352,331.51694,88.935699,18.265673,224.31555,7948,3.3048816,7.1164656,.2,-142.01245,189.50449,-34.811077,-.24512693,-34.811077,-.64108801,,,,3.3281531,,,,,,,,103,,,23,80,783
40,68.699997,,,1,,,,,,,1,2017,3,Доп.офис №8604/0119,Среднерусский банк,8604,Тульская область,Ленинский-1,54.2883,37.453522,ДО ФЛ,Опер-офис,Аренда (субаренда),Нет,9,75.2583327293396,8.3620367,,,,,,,,,,1.2222222,5.7777777,67.222221,72.777779,,,19.666666,159.66667,,,,19.794634,,,,,,,,,,,,,181.28392,1.6961499,.009356318,,,,,,,2.03985,.110313,.054078974,,,,,19.6222,7.4974999,3.696002,.4929646,,,,227.36641,-990.00006,,21,,68.699997,2.5,-145808.33,-30066.619,,,,,,129.38599,108.74019,20.645805,,2714,3.3555267,,,-144.19766,-14.811664,-14.811664,-.10271778,-14.811664,-.21559919,,,,,,,,,,,,129,,,16,113,1043
40,193.5,17,2.2,7,4,3,,,,,16.2,2017,3,Доп.офис №8604/012,Среднерусский банк,8604,Тульская область,Тула,54.193466,37.590729,ДО ФЛ,Бизнес-офис,Собственность банка,Да,22,212.6133326888084,9.6642427,,,.56818181,3.5795455,.77272725,6.9772725,4.3314772,21.727272,2.3584847,,,46.11039,12.142858,.41558442,1.1623377,15.564935,75.941559,.24390244,.63126254,.62,66.299614,.47,.51999998,10.96,3.3900001,2.0899999,3.76,211.51241,13.991416,.066149384,,,,229.1595,3.0004301,.013093195,,,,,,,87.011169,4.3158102,.049600646,33.464699,7.2297802,.4439286,.061402779,19.6222,7.4974999,3.696002,.4929646,941.05322,,46.407688,65.791946,-680.50751,11.382353,21,.5420168,11.944445,1.0125,-100213.67,-77080.656,-164225.11,-86084.516,,-52410.605,-56469.473,4986.4751,2733.8508,820.09882,1432.5253,80366,3.3556502,4.4266176,.2,-2033.7627,2952.7122,1520.1868,.74747503,93.838692,7.8562622,,9.9167566,-1.1531043,.037364531,,,,,,,,1826,205,22,499,1100,8683
40,29,,,1,,,,,,,1,2017,3,Доп.офис №8604/0124,Среднерусский банк,8604,Тульская область,Рассвет,54.164539,37.443542,ДО ФЛ,Опер-офис,Аренда (субаренда),Нет,13,97.40944242477417,7.4930339,,,,,,,,,,.76923078,3.9230769,14.461538,40,,.30769232,54.076923,108.84615,,,,16.204525,,,,,,,,,,,,,128.98167,3.8145299,.029574201,,,,,,,.0624175,.00564624,.090459242,,,,,19.6222,7.4974999,3.696002,.4929646,,,,242.22369,-767.40106,,21,,29,1.6666666,-99042.297,-46289.172,,,,,,127.24773,107.76989,19.477839,,3797,3.370898,,,-114.16903,13.078695,13.078695,.11455555,13.078695,.45098948,,,,,,,,,,,,90,,,18,72,1202
40,103.3,,,1,,,,,,,1,2017,3,Доп.офис №8604/0128,Среднерусский банк,8604,Тульская область,Барсуки,54.260998,37.491138,ДО ФЛ,Опер-офис,Собственность банка,Нет,13,102.4580588340759,7.8813891,,,,,,,,,,.53846157,4,47.23077,38.53846,.15384616,,17,103.07692,,,,39.701164,,,,,,,,,,,,,287.14285,3.4548399,.012031781,,,,,,,1.66424,.150538,.090454496,,,,,19.6222,7.4974999,3.696002,.4929646,,,,244.10329,-645.69373,,21,,103.3,1.6666666,-426000.13,-48511.871,,,,,,106.65716,71.998047,34.659115,,4911,3.3165548,,,-368.2565,-261.59933,-261.59933,-.71037263,-261.59933,-2.5324233,,,,,,,,,,,,64,,,13,51,873
40,53.900002,,,1,,,,,,,1,2017,3,Доп.офис №8604/0130,Среднерусский банк,8604,Тульская область,Шатск,54.136063,37.839386,ДО ФЛ,Опер-офис,Собственность банка,Нет,18,131.3858342170715,7.2992129,,,,,,,,,,.22222222,2.5555556,65.5,50.777779,,.55555558,40.388889,157.22223,,,,18.366388,,,,,,,,,,,,,116.68825,1.1208,.0096050808,,,,,,,,,,,,,,19.6222,7.4974999,3.696002,.4929646,,,,201.53462,-405.5723,,21,,53.900002,1.25,-144372,-60489.941,,,,,-60489.941,186.63519,47.184025,33.794151,105.65702,3453,3.3230524,7.6733208,.2,-134.82571,51.809467,-53.847546,-.39938632,-53.847546,-.99902678,,,,1.4223361,,,,,,,,64,,,6,58,1840
40,329.79999,14,2,5,4,2,,,,,13,2017,3,Доп.офис №8604/0134,Среднерусский банк,8604,Тульская область,Тула,54.195488,37.561649,ДО ФЛ,Бизнес-офис,Аренда (субаренда),Да,26,246.270834684372,9.4719553,,,.72115386,2.6538463,.49038461,5.1634617,3.8984616,17.326923,1.8523077,,,47.630768,16.007692,.84615386,1.1923077,15.523077,81.907692,.2631579,.6160714,.59154928,59.277931,.51999998,.50999999,10.88,3.3,2.4000001,2.6700001,168.84918,9.7300968,.057625964,,,,190.12222,2.36484,.012438525,,,,,,,51.052284,4.2258201,.082774356,33.464699,7.2297802,.4439286,.061402779,19.6222,7.4974999,3.696002,.4929646,822.03961,,9.4619684,77.47863,-2400,23.557142,21,1.1217687,25.36923,1,-182364.02,-92986.711,-159095.94,-88250.164,,-62037.609,-83684.313,4170.9683,2351.7683,762.30432,1056.8958,46382,3.3529079,5.6634336,.2,-2547.9431,1623.0253,566.12952,.2221908,43.548424,1.7165844,,7.7046614,-1.9525565,-.72857928,,,,,,,,1740,285,13,448,994,8169
40,331.10001,17,2,7,4,3,,,,,16,2017,3,Доп.офис №8604/0136,Среднерусский банк,8604,Тульская область,Тула,54.168877,37.582214,ДО ФЛ,Бизнес-офис,Собственность банка,Да,26,259.8699970254675,9.9949999,,,.51923078,1.8076923,.42307693,7.3173075,3.5527885,18.47436,2.0616667,,,9.1813183,21.082418,1.1813186,1.0659341,17.571428,51.274727,.21600001,.44028103,.57747489,64.583275,.38,.49000001,9.0699997,3.5799999,1.24,2.96,292.58862,17.413017,.059513651,,,,231.44785,3.3180799,.014336188,,,,,,,111.77738,8.1322403,.072753899,33.464699,7.2297802,.4439286,.061402779,19.6222,7.4974999,3.696002,.4929646,1038.5181,,,68.827316,-534.19946,19.476471,21,.92745101,20.69375,1,-127616.3,-94017.508,-149852.06,-104081.62,,-66569.313,-84140.773,5514.0288,2890.0405,959.13,1664.8588,77132,3.3332083,5.3963375,.2,-2436.031,3077.998,1413.1395,.58009917,88.32122,4.2680144,,8.9196711,-1.203775,-.30145118,,,,,,,,2103,250,32,427,1394,9325
40,295.20001,22,2,9,6,4,1,,,,23,2017,3,Доп.офис №8604/0138,Среднерусский банк,8604,Тульская область,Щекино,54.011974,37.515285,ДО ФЛ,Бизнес-офис,Собственность банка,Нет,26,263.4291599909775,10.13189,1.0384616,3.9449999,.58333331,2.9166667,.46153846,4.9551282,3.725064,20.942308,2.198077,.008547009,,5.1239314,8.5170937,.60683763,1.7735043,19.833334,36.183762,.28,.59868419,.62965721,26.722345,.51999998,.44,10.91,3.5699999,1.89,1.3099999,198.108,7.2765465,.0367302,1048.7059,47.350952,.045151792,167.81989,2.4170001,.014402346,,,,,,,103.10738,7.1743002,.06958086,,,,,19.6222,7.4974999,3.696002,.4929646,745.24548,1278.4757,11.586503,26.161772,-634.77496,12.834784,21,.61118019,12.834784,1.0454545,-106373.09,-87322.281,-196498.81,-81839.758,,-67630.445,-83088.602,6988.8589,3991.4595,849.61053,2147.7893,101735,3.3466761,5.2568593,.2,-2957.7112,4031.1477,1883.3588,.6367622,81.885162,6.3799415,,8.1199293,-1.0253518,-.6685605,,,,,,,,2474,325,47,760,1342,11014
40,33.599998,,,1,,,,,,,1,2017,3,Доп.офис №8604/0139,Среднерусский банк,8604,Тульская область,Ясная Поляна,54.072536,37.535114,ДО ФЛ,Опер-офис,Аренда (субаренда),Нет,12,95.70194530487061,7.975162,,,,,,,,,,.25,,59.25,13.333333,.083333336,1.3333334,16.333334,90.333336,,,,13.710273,,,,,,,,,,,,,408.63333,6.0843701,.014889559,,,,,,,.00027399999,.000028439001,.10379197,,,,,,,,,,,,26.040545,-321.80981,,21,,33.599998,1.6666666,-70616.492,-30604.91,,,,,,32.550858,22.816565,9.7342939,,495,3.5117173,,,-67.611565,-35.060703,-35.060703,-.51856077,-35.060703,-1.0434734,,,,,,,,,,,,8,,,8,,710
